label,text
ham,"Hey, are we still meeting today?"
ham,I will call you later after work.
ham,Can you send me the report when you have time?
ham,Thanks for your help yesterday.
ham,Let's grab lunch tomorrow.
ham,The meeting has been moved to 3 PM.
ham,"I am running late, sorry."
ham,Please review the attached document.
ham,Happy birthday! Hope you have a great day.
ham,Don't forget to bring your laptop.
spam,Congratulations! You have won a free prize. Claim now!
spam,URGENT! Your account has been selected for a cash reward.
spam,Win a brand new phone today. Click here.
spam,You have been awarded a bonus. Reply now to claim.
spam,Limited time offer! Get cheap loans instantly.
spam,Free entry in our weekly competition. Text WIN to claim.
spam,Your subscription has expired. Pay now to avoid charges.
spam,Claim your free gift card today.
spam,Special promotion: earn money from home now.
spam,You are selected for a guaranteed cash prize.
ham,Could you please confirm the meeting agenda?
ham,I uploaded the file to the shared folder.
ham,See you at the office tomorrow.
ham,The client asked for an updated version.
ham,Can we reschedule the call?
ham,I finished the analysis and sent the results.
spam,Final notice: claim your reward before midnight.
spam,Exclusive deal! Save money with this limited offer.
spam,Act now and receive a free voucher.
spam,"Congratulations, your number won our lottery."
